DAuid,WPname,hav,distances
59151844,Fraser Heights Park,2.432100519345679,3762.0
59151844,Lionel Park,1.1753466233544942,1910.0
59151844,Enver Creek Park,3.388208689218209,4980.0
59151844,Royal Canadian Mounted Police Guildford,2.755707834721908,3958.0
59151844,Riverside Heights Shopping Centre Shopping Mall,3.372045981871163,4618.0
59151844,Surrey Bend Regional Park,4.699175174789097,7319.0
59151844,Hemlock Park,0.3254924533199125,316.0
59151844,Fleetwood Park,2.9202857711085586,3644.0
59151844,Surrey Lake Park,3.989272531414844,7211.0
59151844,Maple Green Park,1.865981192573601,3020.0
59151844,RCMP E-Division Headquarters,3.21205096424461,3975.0
59151844,Invergarry Bike Park,4.358086941559205,5860.0
59151844,Fraser View Park,3.642507726706049,5024.0
59151844,Bonnie Schrenk Park,2.7065805096776154,3750.0
59151844,Tynehead Regional Park,1.876887777557131,3133.0
59151844,Port Kells Park,7.364117946943171,8558.0
59151845,Hawthorne Park,4.282188864440196,5915.0
59151845,Guildford Town Centre Shopping Mall,2.87100327757803,4608.0
59151845,Fraser Heights Park,3.0036859244753797,3308.0
59151845,Lionel Park,1.868644229115357,2778.0
59151845,Enver Creek Park,3.166647379209281,4468.0
59151845,Royal Canadian Mounted Police Guildford,3.4155480107690983,4828.0
59151845,Riverside Heights Shopping Centre Shopping Mall,4.066106719524026,5487.0
59151845,Surrey Bend Regional Park,4.819191946951134,6866.0
59151845,Hemlock Park,0.4234410770032873,859.0
59151845,Fleetwood Park,2.2554084647691157,3191.0
59151845,Surrey Lake Park,3.467000369064653,6712.0
59151845,Maple Green Park,1.8968922069904144,2932.0
59151845,RCMP E-Division Headquarters,3.6675363802815455,4845.0
59151845,Invergarry Bike Park,5.0570822598705485,6729.0
59151845,Fraser View Park,4.251940376544998,4570.0
59151845,Bonnie Schrenk Park,2.026091733815706,3296.0
59151845,Tynehead Regional Park,1.8836641664645983,2679.0
59151845,Port Kells Park,7.002100268026943,8104.0
59151846,Hawthorne Park,3.986137595926778,5771.0
59151846,Guildford Town Centre Shopping Mall,2.634864211295503,4464.0
59151846,Fraser Heights Park,3.000977550526973,3529.0
59151846,Lionel Park,1.6515460761372396,2634.0
59151846,Enver Creek Park,2.942501999464522,4547.0
59151846,Royal Canadian Mounted Police Guildford,3.1422342585163574,4684.0
59151846,Riverside Heights Shopping Centre Shopping Mall,3.833879258771016,5343.0
59151846,Surrey Bend Regional Park,5.05463045343689,7087.0
59151846,Hemlock Park,0.4604305795852496,715.0
59151846,Fleetwood Park,2.3625585585519784,3412.0
59151846,Surrey Lake Park,3.4205897332116946,6792.0
59151846,Maple Green Park,1.5779931412385015,2788.0
59151846,RCMP E-Division Headquarters,3.322928123076166,4701.0
59151846,Invergarry Bike Park,4.835969182568501,6585.0
59151846,Fraser View Park,4.218507805484091,4791.0
59151846,Bonnie Schrenk Park,2.3118981983018223,3518.0
59151846,Tynehead Regional Park,2.1393701713701283,2900.0
59151846,Port Kells Park,7.349721771358741,8325.0
59151847,Hawthorne Park,4.214314199294469,5664.0
59151847,Guildford Town Centre Shopping Mall,2.9483815303630347,4446.0
59151847,Fraser Heights Park,3.398014694364049,4314.0
59151847,Lionel Park,1.9916826097115516,2616.0
59151847,Enver Creek Park,2.633760731923962,3652.0
59151847,Royal Canadian Mounted Police Guildford,3.410276126327713,4580.0
59151847,Riverside Heights Shopping Centre Shopping Mall,4.1443014990248095,5640.0
59151847,Surrey Bend Regional Park,5.352025926284792,8159.0
59151847,Hemlock Park,0.8323608893606255,1285.0
59151847,Fleetwood Park,2.0019167863552503,2741.0
59151847,Surrey Lake Park,3.0243811246931136,5896.0
59151847,Maple Green Park,1.4379795550549876,2189.0
59151847,RCMP E-Division Headquarters,3.412385790160586,4541.0
59151847,Invergarry Bike Park,5.153309492508053,6481.0
59151847,Fraser View Park,4.614947721710611,5576.0
59151847,Bonnie Schrenk Park,2.129034570215786,3013.0
59151847,Tynehead Regional Park,2.416407476836328,3685.0
59151847,Port Kells Park,7.409537373198171,7820.0
59151848,Hawthorne Park,4.026499465950613,5981.0
59151848,Guildford Town Centre Shopping Mall,2.8852747535568586,4674.0
59151848,Fraser Heights Park,3.5843813547267764,4541.0
59151848,Lionel Park,1.9943607296437773,2844.0
59151848,Enver Creek Park,2.276359631882283,3839.0
59151848,Royal Canadian Mounted Police Guildford,3.276985630684824,4767.0
59151848,Riverside Heights Shopping Centre Shopping Mall,4.063387400224693,5553.0
59151848,Surrey Bend Regional Park,5.714381680621608,8099.0
59151848,Hemlock Park,1.1258368853770424,1728.0
59151848,Fleetwood Park,2.0733338399262644,2929.0
59151848,Surrey Lake Park,2.8632200592712023,6083.0
59151848,Maple Green Park,1.040705061791239,2376.0
59151848,RCMP E-Division Headquarters,3.107802166261513,4728.0
59151848,Invergarry Bike Park,5.077197894730224,6668.0
59151848,Fraser View Park,4.762095928164637,5803.0
59151848,Bonnie Schrenk Park,2.4304903229424384,2955.0
59151848,Tynehead Regional Park,2.787912194069508,3913.0
59151848,Port Kells Park,7.805070827853207,8247.0
59151849,Hawthorne Park,3.671391014762912,4970.0
59151849,Guildford Town Centre Shopping Mall,2.4516216198044485,3664.0
59151849,Fraser Heights Park,3.1552704382261485,4004.0
59151849,Lionel Park,1.5406048425214314,2307.0
59151849,Enver Creek Park,2.6035003455645884,4193.0
59151849,Royal Canadian Mounted Police Guildford,2.8803425076638813,3883.0
59151849,Riverside Heights Shopping Centre Shopping Mall,3.6391824949589062,4943.0
59151849,Surrey Bend Regional Park,5.450840186706308,7562.0
59151849,Hemlock Park,0.8471624265736989,1190.0
59151849,Fleetwood Park,2.487420777289924,3283.0
59151849,Surrey Lake Park,3.3157337058874328,6178.0
59151849,Maple Green Park,1.1286742801168792,1987.0
