INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER,lon,lat
Break and Enter - Business,14800 104TH AVE,1,2020,20-12042,-122.8124332,49.1914609
Break and Enter - Business,14900 104TH AVE,1,2020,20-13816,-122.8092,49.1915
Break and Enter - Business,10300 152ND ST,1,2020,20-14999,-122.8003366,49.18950900000001
Break and Enter - Residence,15800 112TH AVE,1,2020,20-2017,-122.784355,49.206083
Break and Enter - Residence,14800 101A AVE,1,2020,20-2933,-122.8128205,49.1867029
Break and Enter - Residence,15400 82ND AVE,1,2020,20-4679,-122.795738,49.1519
Break and Enter - Residence,14800 103A AVE,1,2020,20-5133,-122.8122227,49.1906032
Break and Enter - Residence,8600 156TH ST,1,2020,20-6660,-122.7901428,49.1591525
Break and Enter - Residence,15800 99TH AVE,1,2020,20-7201,-122.7842554,49.1822784
Break and Enter - Residence,15700 98TH AVE,1,2020,20-9048,-122.787113,49.18063000000001
Break and Enter - Residence,14300 108TH AVE,1,2020,20-9525,-122.8258543,49.1985815
Break and Enter - Residence,15000 88TH AVE,1,2020,20-9876,-122.806938,49.162797
Break and Enter - Residence,9000 164TH ST,1,2020,20-10641,-122.7677213,49.16671299999999
Break and Enter - Residence,14800 100TH AVE,1,2020,20-16115,-122.8122772,49.1841227
Break and Enter - Residence,14900 104TH AVE,1,2020,20-16158,-122.8092,49.1915
Break and Enter - Business,13100 80TH AVE,1,2020,20-1670,-122.8599599,49.1476748
Break and Enter - Business,13500 84TH AVE,1,2020,20-2270,-122.8485967,49.1552113
Break and Enter - Business,7800 132ND ST,1,2020,20-2865,-122.8567819,49.14456490000001
Break and Enter - Business,7400 140TH ST,1,2020,20-3789,-122.8344657,49.1372641
Break and Enter - Business,7400 135TH ST,1,2020,20-3840,-122.8480601,49.1368575
Break and Enter - Business,6000 156TH ST,1,2020,20-4502,-122.7893209,49.1114593
Break and Enter - Business,8100 128TH ST,1,2020,20-6460,-122.8679757,49.1499476
Break and Enter - Business,12800 85TH AVE,1,2020,20-6596,-122.7992741,49.1572086
Break and Enter - Business,7500 132ND ST,1,2020,20-6759,-122.8562457,49.1391968
Break and Enter - Business,13000 76TH AVE,1,2020,20-7067,-122.8618301,49.14097899999999
Break and Enter - Business,13700 72ND AVE,1,2020,20-7125,-122.8427847,49.1335284
Break and Enter - Business,8000 128TH ST,1,2020,20-7972,-122.867906,49.1482199
Break and Enter - Business,8100 120A ST,1,2020,20-8043,-122.8881419,49.14898290000001
Break and Enter - Business,8000 120A ST,1,2020,20-10446,-122.8881348,49.1486518
Break and Enter - Business,15100 56TH AVE,1,2020,20-10943,-122.8061194,49.1042022
Break and Enter - Business,13500 72ND AVE,1,2020,20-13123,-122.8483889,49.1335337
Break and Enter - Business,14700 64TH AVE,1,2020,20-13296,-122.8150381,49.1186419
Break and Enter - Business,6300 KING GEORGE BLVD,1,2020,20-13755,-122.8453214,49.11720099999999
Break and Enter - Business,8100 128TH ST,1,2020,20-14305,-122.8679757,49.1499476
Break and Enter - Business,14700 64TH AVE,1,2020,20-14439,-122.8150381,49.1186419
Break and Enter - Business,12800 72ND AVE,1,2020,20-14727,-122.8673112,49.13377450000001
Break and Enter - Business,13400 71ST AVE,1,2020,20-15333,-122.7016607,49.1319664
Break and Enter - Business,8600 KING GEORGE BLVD,1,2020,20-15472,-122.845846,49.1596693
Break and Enter - Business,7100 HALL RD,1,2020,20-15971,-122.8470118,49.13235359999999
Break and Enter - Business,12000 80TH AVE,1,2020,20-1190,-122.8896462,49.14853429999999
Break and Enter - Residence,13300 70B AVE,1,2020,20-1293,-122.8537259,49.1311657
Break and Enter - Residence,6200 130B ST,1,2020,20-1475,-122.8601387,49.1150229
Break and Enter - Residence,7000 141ST ST,1,2020,20-3293,-122.8313097,49.1301648
Break and Enter - Residence,14900 61A AVE,1,2020,20-3362,-122.8091727,49.114932
Break and Enter - Residence,14800 72ND AVE,1,2020,20-3398,-122.812159,49.1337
Break and Enter - Residence,13600 76TH AVE,1,2020,20-9353,-122.848412,49.140869
Break and Enter - Residence,12300 57A AVE,1,2020,20-9460,-122.7365163,49.1068861
Break and Enter - Residence,13400 78A AVE,1,2020,20-9677,-122.851258,49.1454126
Break and Enter - Residence,7500 143RD ST,1,2020,20-11686,-122.8270846,49.1395761
Break and Enter - Residence,6200 134TH ST,1,2020,20-12021,-122.8508075,49.1155624
Break and Enter - Residence,14800 57A AVE,1,2020,20-15805,-122.8123122,49.1070765
Break and Enter - Residence,7000 150TH ST,1,2020,20-16582,-122.8065977,49.1300775
Break and Enter - Residence,5900 131A ST,1,2020,20-16882,-122.857592,49.1098191
Break and Enter - Business,5500 192ND ST,1,2020,20-133,-122.6911716,49.1026343
Break and Enter - Business,18500 96TH AVE,1,2020,20-2633,-122.7089252,49.1769971
Break and Enter - Business,19400 96TH AVE,1,2020,20-3154,-122.6848926,49.1768047
Break and Enter - Business,19400 54TH AVE,1,2020,20-3169,-122.6860951,49.1003105
Break and Enter - Business,17600 96TH AVE,1,2020,20-3339,-122.7340982,49.1766744
Break and Enter - Business,17700 57TH AVE,1,2020,20-6047,-122.7319607,49.1057425
Break and Enter - Business,19000 54TH AVE,1,2020,20-6369,-122.6961325,49.1002673
Break and Enter - Business,9400 189TH ST,1,2020,20-6463,-122.6983626,49.1740297
Break and Enter - Business,19000 54TH AVE,1,2020,20-7472,-122.6961325,49.1002673
Break and Enter - Business,5900 177B ST,1,2020,20-8605,-122.7303116,49.1095958
Break and Enter - Business,19500 LANGLEY BPS,1,2020,20-9835,-122.6825498,49.1079033
Break and Enter - Business,17700 58A AVE,1,2020,20-10002,-122.7322807,49.1086953
Break and Enter - Business,6400 168TH ST,1,2020,20-10939,-122.7564988,49.1189986
Break and Enter - Business,17500 55B AVE,1,2020,20-11028,-122.7371193,49.1031588
Break and Enter - Business,17600 JAMES HILL DR,1,2020,20-13061,-122.8490125,49.1913466
Break and Enter - Business,5800 177B ST,1,2020,20-15250,-122.7299801,49.1078406
Break and Enter - Business,60500 176TH ST,1,2020,20-15266,-122.7350746,49.0918921
Break and Enter - Business,17700 58A AVE,1,2020,20-15277,-122.7322807,49.1086953
Break and Enter - Business,9700 186TH ST,1,2020,20-15834,-122.7077007,49.1787237
Break and Enter - Business,5900 176A ST,1,2020,20-16117,-122.7333521,49.1095571
Break and Enter - Residence,18300 60TH AVE,1,2020,20-2187,-122.7154516,49.1111398
Break and Enter - Residence,7000 193RD ST,1,2020,20-2826,-122.6879881,49.1301233
Break and Enter - Residence,19300 63A AVE,1,2020,20-4392,-122.6879051,49.11817970000001
Break and Enter - Residence,6400 172ND ST,1,2020,20-4640,-122.7460195,49.118785
Break and Enter - Residence,19200 71ST AVE,1,2020,20-6753,-122.6962242,49.1320719
Break and Enter - Residence,18900 69A AVE,1,2020,20-8551,-122.6984133,49.1292325
Break and Enter - Residence,17300 64TH AVE,1,2020,20-8699,-122.7429582,49.1186169
Break and Enter - Residence,6100 168TH ST,1,2020,20-8982,-122.7565515,49.1132769
Break and Enter - Residence,16700 63B AVE,1,2020,20-10407,-122.7598882,49.1178559
Break and Enter - Residence,9800 LYNCEAN DR,1,2020,20-11454,-122.7257478,49.1815062
Break and Enter - Residence,17700 57TH AVE,1,2020,20-14802,-122.7319607,49.1057425
Break and Enter - Residence,17400 61B AVE,1,2020,20-15143,-122.7383415,49.1144389
Break and Enter - Residence,5900 176A ST,1,2020,20-15320,-122.7333521,49.1095571
Break and Enter - Residence,19300 62A AVE,1,2020,20-15756,-122.7969736,49.11668
Break and Enter - Residence,19400 63A AVE,1,2020,20-16958,-122.6855917,49.1179244
Break and Enter - Business,15300 31ST AVE,1,2020,20-1186,-122.7946563,49.0582697
Break and Enter - Business,15300 20TH AVE,1,2020,20-2798,-122.7983577,49.03803509999999
Break and Enter - Business,STAYTE RD / MARINE DR,1,2020,20-7492,-122.7792703,49.01659679999999
Break and Enter - Business,15900 26TH AVE,1,2020,20-8069,-122.7821083,49.0484872
Break and Enter - Business,3400 191ST ST,1,2020,20-9875,-122.6936472,49.0644948
Break and Enter - Business,3500 190TH ST,1,2020,20-9898,-122.6969752,49.06584410000001
Break and Enter - Business,2600 156TH ST,1,2020,20-12637,-122.789893,49.0486099
Break and Enter - Business,3000 192ND ST,1,2020,20-12837,-122.690729,49.0565347
Break and Enter - Business,2400 161A ST,1,2020,20-13148,-122.7752171,49.0463375
Break and Enter - Business,14600 16TH AVE,1,2020,20-13751,-122.8174569,49.0311682
Break and Enter - Business,1900 152ND ST,1,2020,20-14824,-122.8011176,49.0365715
Break and Enter - Business,15300 31ST AVE,1,2020,20-15369,-122.7946563,49.0582697
Break and Enter - Business,3700 190TH ST,1,2020,20-15881,-122.6969802,49.0693105
Break and Enter - Residence,16700 24TH AVE,1,2020,20-742,-122.7597716,49.0456423
Break and Enter - Residence,17300 26TH AVE,1,2020,20-1849,-122.7437713,49.04922759999999
